content,target,category,score
그것이 알고싶다도 지난방송들 로딩계속되다 꺼지고 안됩니다.. 공지사항에 올려진 방송 말고도 더있는거 같으니 찾아보시고 빨리 고쳐주세요... 돈은 돈대로내고 이용도 못하고있어요...,1,3,2.0
-1023오류 해결좀 해라 개래끼들아. 껏다켰다 하는것도 한두번이지 이런거 해결도 못하고 사용료는 꼬박꼬박 쳐받아가고 웨이브로 왜 갈아타는지 모르겠냐??,0,0,0.0
아니 로그인 제대로했는데 왜 자꾸 안되는거에요? 그냥 카카오톡 간편 로그인 기능을 만들던가해야지 NCT 5월21일에 나온데서 깔았더니만 로그인이 안되요 왜 이런사람들 생각도 안해주고 만드시는거죠? 우린 뭐 보지말라는건가 카카오톡 간편 로그인 좀 만들어요 진짜 화나네,1,1,4.0
"월이용권 만료일이 아직 남았는데, 만료됐다고 뜨며, 실행 하면 바로 그냥 어플이 꺼져버리네요. 유료로 이용하는건데 불편하네요..",0,0,0.0
7월까지 사용하고 해지했는데 9월 10월 갑자기 돈이 빠져나갔습니다. 8월은 안나갔구요. 9월은 나간줄도 몰랐습니다. 들어간적도 없었는데 이게뭐죠ㅋㅋㅋ 돈없어서 빡세게 살아가는 자취생인데 이거 좀 억울하네요. 29000원 환불해주세요.,0,0,0.0
"무한로딩, 인터넷 껏다가 켜도안돼, 폰 재부팅 해도 안돼 도대체 뭐 때문에 이럽니까? 결제해서 사용하고 있는데",1,3,1.0
오류가 며칠째인지. 몰아보기 중인데 짜증나서 돈주고 다른 데서 봐요 빨리 고쳐요 별한개도 아까움 진심 보상받아야할판 이어플 돈주고 쓰지마세요,0,0,0.0
이거 와이파이상태에서는 왜자꾸 끊기고 계속 로딩중이라 볼수가없네요 같은와이파이상태에서 넷플렉스'유튜브 다 가동되는데 왜이런건가요? 지우고 다시 깔아도 그렇는데 어떻게해야하나요?,1,3,2.0
업뎃이후에 폰 어플도 구려졌지만 더 심한건 스마트티비 앱이에요.. 정말 너무 구려서 쓰기 불편해요... 왜 프로그램을 누르면 바로 재생이 되는지..? 회차선택을 꼭 재생화면에서만 할수있는게 정말 너무너무 불편해요... 업뎃전이 훨 편했어요,1,2,4.0
업데이트된거같은데 기기와 호환되지않는다고 설치가안되는데 어찌해야되나요?? 노트9이라고 안되는건지...,1,1,2.0
"갤럭시 폴드3사용자입니다 혹시 플레이어개선은 하실의향이없으신가요 플레이할때 너무불편합니다 제가 웨이브를같이쓰고있는데 웨이브 플레이어는 개선이 엄청돼서 자주쓰게되는데 티빙은컨텐츠는 좋은데 플레이어때문에 쓰기싫어지네요 특히 회전, 전체화면, 중간재생 그리고 화면비율이 바뀔때마다 됐다안됐다하는문제등 플레이어 개선 계획좀알려주세요",1,2,5.0
유튜브클립보다가 재밌어서 티빙결제까지 하고 보는데 잠깐 껐다 켰더니 경이로운 소문인가 뭔가 팝업에서 바로보기 안하고 다른컨텐츠보기 누르면 어플 작동안됨 ..ㅎ ...로그인도 안됨... 돈내고 보는데 내 맘대로도 못보게 하고.. 로그인도 안 시켜주나..싶어서 서럽고....입원중이라 저녁에 폰 말고는 할것도없는데..결제까지 해놓고 유튜브 클립보게 만듬..,1,1,2.0
앱이 제대로된 안내가 없네요 100윈으로 보기 창 눌렀는데 구매창만 보이고...덕분에 100원으로 볼거 9000원주고 받네요^^ 이미 봐서 환불도 안되고 저같은분들 안생기게 수정해주세요^^돈버리고 싶은분들은 이앱 추천 드립니다!!!,0,0,0.0
가입하고 결제수단 등록도 했는데 결국 무료체험 가입 안눌러져서 삭제. 진짜 얄팍하고 쓰레기 같은 상술,1,1,1.0
돈 내고 보는데 오류가 너무 심하다 진심 보려고 들어가는데 오류때매 못본적이 얼마나 많은지 ..쓰다가 도저히 안될거 같아서 해지했습니다,0,0,0.0
재생화면 크기가 너무 작아요 폰화면에 꽉 채울수있게 전체화면으로 크게 키울 수 있게 해주세요 폰도 작은데 재생화면도 작아서 너무 답답해요,1,2,5.0
이거 동영상끊김현상 도대체 언제 정상으로 돌아오나요 몇일째 제대로 쓰지도못하고있네요 ㅋㅋ 드라마주로 보는데 몇분도안가서 끊기고 참불편하네,1,3,1.0
"아래와 같이 10월7일 문의했고 어플내에 의견남기기를 하라는 답변주셔서 했더니 아무런 답변없고 고객센터 전화 10월25일했고 연락준다더니 역시 연락없네요 어플내에 남겨야 답변줄것 같은데 해결 좀 바랍니다. 루팅 안된 단말기입니다 보안문제 좀 어떻게 해주셔요 웨이브, 왓챠, 넷플릭스, 티빙, BTV 모바일, 유튜브등 전부 다 구동 되는데(전부 사용중) 왜 쿠팡플레이 어플만 루팅된 기기라고 안되는지? 모델은 HK1 MAX 이며, 구입시부터 루팅되서 오는거 이거때문에 힘들게 루팅도 풀었는데 안됨 귀찮지만 브라우저로 들으가면 정상이용됨 업데이트 되면 될까봐 몇개월 기다려봤는데도 안되네요. 해결 좀 해줘요 쿠팡 정액제 끊어버리고 싶어요",1,1,5.0
설치했는데 원래안되는건가 개인등록도다했는데로그인도자꾸안되고 로그인되서 영화볼라하면어플다시받으라고하는데 먼상황임?,1,3,1.0
제발 업그레이드 전 단계로 돌려주세요ㅠㅠ 이거 뭐 넷플릭스 따라하는 것도 아니고 너무 불편해요.. 직관적이지도 않고 어지럽습니다ㅠㅠㅠ 그동안 잘 사용중이었는데 제발 돌려주세요ㅠㅠㅠ,0,0,0.0
동영상 재생이 안됩니다!! 과거에 그런 적이있어서 앱을 삭제하고 다시 설치하면 잘되서 그렇게 했는데도 안됩니다... 정말 자주 일어나는 일이여서 실망이네요..,1,3,1.0
앱 최악 연결도 무지안되고 답변은 그 상황 재현이 안되서 모른다고나하고 이런걸 돈주고 봐야되나요???,0,0,0.0
"1. 어플 사용 시에 정상적으로 재생이 안됨. 혹은 로딩이 너무 심함. 업글만 하면 매번 그러는거 같음. 2. 문의 시에 너무 성의가 없는게 아니라 그냥 복붙만 올림. 영상 재생이 안됩니다. 캐시 삭제, 어플 삭제 후 재설치, 안될 시에 1대1 문의. 1대1 문의. 똑같은 방법을 알려줌. 화면 회전이 제대로 안 됨. 자동 로그인이 이유 없이 해제가 되거나 영상이 랜덤으로 플레이, 이유 없는 광고도 동일. 1대1 문의나 여기서 개발자가 주는 답이나 같음. 기대를 하지 않는게 좋음. 3. 월정액 타 어플보다 좀. 이건 좀 써보면 느낄텐데 일단 프로그램도 적고 공중파가 메인인데 그 공중파 프로그램도 전부 있는 것도 아니고 일부는 없음. 그래도 공중파 사이트에서 내 돈 내고 따로 봄. 어이 없는게 케이블이야 티빙이 더 나은게 당연하지만 공중파쪽 케이블이 아예 없는 것도 아니고 있는데 티빙보다 부실함. 심지어 일부는 빵꾸난거 처럼 회차가 없음.",1,3,5.0
"작은창에서 전체화면, 전체화면에서 작은창으로 이동시 바로 재생이 안되고 한참 버퍼링 걸리고 진짜 별로에요 넥**스처럼 끊킴없이 재생 안될까요?",1,2,3.0
5분 마다 로딩걸림 잠깐 멈추는것도 아니고 계속 로딩중...껐다 키는것도 한두번이지 이런 기본도 안되면서...,1,3,1.0
심심하면 중지됐다며 실행이 안되고 로그아웃도 어찌나 수시로 되는지 오류가 발생해도 처리는 느려터지고 돈내고 보는데 오류로 실행이 안되는 시간만큼 기간 더 늘려주는 것도 아니고 몇년째 발전이 없네. 이러니까 국내 스트리밍들이 망한다,1,1,2.0
역시나프로그램올라오는속도가느리네요아시아드라마는내가원하는건올라온게하나도없네요어이없음아무리올려달라요청드려봤자내손만아프네,1,4,2.0
"다른 리뷰들도 쭉 읽어보았을때 비단 어플만의 문제가 아닌 서버 서비스에대한 문제도 큰 것 같습니다. 스트리밍 속도와 별개로 서버가 터졌을때 복구하는 속도도 그렇고 라이브 서비스 서버와 vod 시스템 서버가 별개로 운영이 되어야 하는게 맞지 않나 싶네요. 비단 티빙뿐만이 아닌 모든 vod 및 라이브 서비스를 운영하는 플랫폼에 대해서 서버가 터졌을 때 기존 이용자 및 유료 이용자들이 몇시간동안 다른 플랫폼을 이용하기 위해서 기존 지출을 감행하였음에도 불구하고 또 지출을 해야만 한다는점 꼭 상기하셨으면 합니다. 이 의견이 그냥 리뷰를 관리하는 분들에게 상투적인 리뷰가 되겠지만 타 N서비스나 S서비스에선 크게 없었던 이슈인만큼 제발 반영하시어 티빙을 믿고 사용하시는 분들에게 이용에 있어서의 불편은 없게 해주시길 바랍니다. 제발, 서버 및 속도 이슈가 많은데 극복하시고 개선 해주시길 바랍니다.",1,1,5.0
"이 정도면 환불해줘야하는거 아냐? 날짜에 맞춰 돈만 빼가고 서비스는 엉망이고, 무슨 오류를 일주일이 넘도록 못 잡아?? IT회사 맞아??",0,0,0.0
차량 안드로이드 오토에서 천체화면 활성화도 안되고 오류도 심하네요. 크게 어려운것도 아닐텐도 앱 수정좀 해 주세요. 결제를 망설이게 한다면 모든 이유는 앱때문인것 같습니다.,1,2,2.0
와우회원인데 로그인할수 없습니다 나중에 다시 시도해주세요 이럼 돈내고 서비스 이용도 못하고~ 이러면 따로 분리해서 하든가 화나게 하지말고,1,1,1.0
서비스 이용자 급증으로 간편 라이브 모드만 가능하다는게 무슨 말인가요... vod 서비스 이용하려고 이용권 구매해서 사용하는 건데 뿐만 아니라 다른 앱보다 오류가 훨씬 많습니다. 시일 내에 개선하세요!!!,0,0,0.0
어제까지만해도 재생이잘됫는데 새벽부터 갑자기 재생이안되내요 계속로드중이라고만뜨고 무슨문제인가요? 해결좀요,1,3,1.0
다들 매달 결제해서 이용하는데 너무불편한거아닌가요?계속끊기고 멈추고 재생도안되고 다른걸로 바꿔야하나 진짜 짜증나네요,1,3,1.0
화질이 FHD인데 왜이리 볼수없을정도로 흐릿하게 나와요 돈도 젤비싼거쓰는데 서비스 개그지같네요 이번달만보고 결제 취소할려고합니다.,1,2,2.0
인사이더 자막좀 만들어주세요 다른플렛폼보다 가장 좋은점이라고생각하는게 한국어도 자막나와서인데 스스로 장점을 걷어차지안길바랍니다,1,2,4.0
4일째 아무것도 못보고 있습니다. 오늘 패치 되었길래 픽스되었나 했더니 그대로네요 누구 놀리는건가요?,0,0,0.0
배속기능 있었으면 좋겠고 3초뒤 재생하는거랑 쿠팡플레이로고 몇초 뜨는것좀 없애야됨 스킵할수있게 하던가,1,2,3.0
로그인할수없습니다가 계속뜸. 와우회원인데 축구를 볼수가없음... 전반끝나고 후반볼려는데.. 이게머임,1,1,1.0
정말 실망이다 전에 옥수수 잘 이용하고 있었는데 뭐하나 편한게 없다 컨텐츠도 별로 없고 다시는 이용하지 않겠다,0,0,0.0
로그인한 사용자의 현재 멤버쉽으로 청취 가능한 컨텐츠만 뿌려주세요. 설정에서 옵션을 주던가 ... 2뎁스 까지 들어가서 월정액업그레이드 버튼 보고 다시 나오는거 반복하니까 아주 짜증이나고 이게 서비스인지 광고인지 구분이 안가네요,1,4,4.0
앱 개발 능력이 정말 쓰레기 그 자체입니다... 성인인증 필요한 컨텐츠는 인터넷에서 성인인증 핀번호 입력이 불가능해 프로필 설정에서 핀 로그인 취소 후 다시 인증해야합니다 일부 컨텐츠 자막은 영문판 기준으로 번역되어있으나 한글판 더빙이 나와 서로 의미 자체가 다른말을 합니다 자막 시스템 자체도 인터넷에 널린 동영상 플랫폼보다 더 나쁜 기능을 가져서 뭐 조절되는게 없습니다 디즈니의 앱 개발능력인건지 외주를 준건지 모르겟는데 정말 고등학생 데려다 만들어도 이거보다 더 잘만들거 같습니다 다들 구독하실꺼면 꼭 한달 선행체험 하시고 선택하시기 바랍니다,1,4,5.0
폰 어플로 다시 가입하구 결저해서 들어왔는데 접속은 안되구 계속해서 넷플릭스홈페이지에서 가입절차 마무리 하라고만 나오네요 이게 먼일? 환불 받고싶네요,1,3,2.0
광고에 쩔었다. 생방송 보는데 채널 바꿀때마다 광고 2개씩 본다. 그냥 봤었는데 어찌된일인지 광고 때문에 짱난다. 1개도 아닌 그것도 꼭~2개씩 나온다. 광고로 돈을 얼마나 벌려고,1,4,2.0
돈은 돈대로 다 쳐받아먹고 정작 중요한 축구경기때 서버터져서 제대로 시청해본적이 없음. 이래놓고 가격은 왜올린건지? 이딴식으로 운영 개같이 할거면 축구중계권 포기해라,1,3,1.0
해지가 되었다해서 그런줄알고있었는데 또정기 결제가되었고 정작 어플들어가보니 이용권이 없다 나오네요 환불해주세요!!!!!,0,0,0.0
아랫분과같이 저도 겔럭시폴드 사용자입니다. 로그인횟수가 많다면서 전혀 이용이안됩니다. 뭔가요 빠른처리부탁두립니다.,1,1,2.0
방금 앱설치하고 실행하는데 먹통됩니다. 아야 실행 하다 튕겼어요 갤s20 fe 기종입니다. 조치 취해주세요,1,1,2.0
앱이 개판입니다. iOS용은 다른 OTT 앱에 비해서 상대적으로 안 좋지만 그냥 저냥 쓸만한데 안드로이드용은 기본도 안되어 있네요.,0,0,0.0
뭡니까 진짜 이 정도면 못본기간만큼 환불해줘야되는거 아니에요?????? 저 웨이브로 옛날프로그램만 보고 최신프로그램은 그알밖에 안보는데 지금 며칠째 이용도 못하고있어요. 솔직히 못본기간은 환불해줘야되는거 아닌가요,0,0,0.0
실시간 tv 볼 때 자체광고 대체하는 건 이해합니다 그럼 광고 시간만 자체광고가 나와야지 프로그램은 시작했는데도 계속 광고가 이어지면 어쩌자는 겁니까?,1,4,2.0
쿠팡은 그냥 유통이나 했으면 좋겠다. 로그인도 안됨 ㅋㅋㅋ 돈주고 볼필요없음. 로그인도 안되서 짜증. 된다해도 보다가 겁나 끊겨서 더 짜증 ㅋㅋ,1,1,1.0
진짜 프리미엄으로 보는데 화질이 너무 안좋아요 괜찮다가 갑자기 깨지는데 한두번도 아니고 화나내요,1,1,1.0
아 진짜 개빡치네 다른건 잘 보는데 왜 맴버십 해지하면 또 계약하게 만들어요;; 그렇게 설정해놓은 것도 아닌데;;;; 해지해도 봐야하잖아;;; 환불도 안돼고 이게 뭔가 ㅋㅌ,0,0,0.0
이야 렉걸리고 저화질이고 해서 카톡 문의 하기 했더니 무슨프로그램 무슨 회차까지 말해달래서 렉걸리면 껏다 키고 저화질이면 껏다키고 봐서 그 구간 몰라가지고 공지에 써있는거 처럼 1개월내 컨텐츠만 봤다 했더니 그부분 문제없음 하고 차단시킴 ㅋㅋㅋㅋㅋㅋㅋ고객응대 쩌네요 굳굳,0,0,0.0
30일 무료체험후 계속 시청할지 말지 결정할려고 30일 무료이용하기로 계정등록 했는데 12000원이 결제가 됐어요 이건 무슨 경우인가요? 황당스럽네요 당장 환불요청 합니다!,0,0,0.0
로그인을 해도 영상을 못봐요 이러것 차라리 만들지 마세요 로그인을 했는데 영상을 못보는게 말이 된다고 생각하시나요? 별 한개 주기도 아깝네요..,0,0,0.0
아놔 너무 끊기잖아요 ㅡㅡ호구들의 감빵생활 13화 2021년2월16일 17시42분입니다 현재 이거 뭐 3분마다 끊기니 도대체가 뭐 볼맛이 안나잖아요 요금제도 제일 비싼거 보는데 관리좀 잘하세요,1,3,3.0
개발자..고객센터 다 코로나 걸리셨나요 Z플립이란게 뭔지는 아시죠...?? 한달 넘게 이러는거 같은데 환불 당연히 해주시는거죠? ㅎㅎㅎ 에이설마,0,0,0.0
강제 업데이트후 전부유료화 정규방송도 돈내고 봐야하내요 그냥 광고없고 무료로 볼수있는 다른어플이용해서 보렵니다 바이바이,0,0,0.0
오늘 더럽게 끊기고 무한 버퍼링이 걸리네요. 공지도 없어서 당황스럽네요. 빠른 처리 부탁드립니다.,1,3,2.0
"똑같은 문제가 3일동안 개선이 전혀 안되고 있으니, 환불은 당연히 가능하겠죠? 로딩때문에 아예 볼 수가 없네요",0,0,0.0
실행오류로 구동자체가안되는데 어쩌라는건지 모르겠다 소보원에 신고넣어서 민원파도타기중임 하는짓보니까 답변오기전까지 못고치지싶네,0,0,0.0
앱 개느리고 하 진짜 건너뛰기며 다음화 넘어가는거 하나하나 넷플릭스쓰다가 볼거있어서 디즈니 넘어오면 답답함의 극치 업데이트 안하세요??? 이대로면 한달보다가 스트레스 받아서 삭제 할듯;;;,1,1,2.0
5월23일 월요일 00시17분 손흥민 경기를 보려고 쿠팡플레이 들어갔는데 왜 로그인이 안되냐? 17분째 로그인이 안되는데 이건 뭐냐? 당장환불해줘라!,1,1,2.0
쓸애긔네 진짜 장사 이따구로 할래여? 1년 무제한이용권 팔아놓고 한달도 안되서 갑자기 시청제한1대로 바꾸고 나몰라라~~ 전화도 안받고 문의내용 답변도 몇달째 없고 ㅋㅋㅋㅋㅋ 이따위로 장사하네 대한민국에서 제정신인가?,0,0,0.0
영상 보다가 멈추고 소리만 나오고 업데이트 이후 완전 🐕 판임 절래절래 이래서 시즌이나 다른거 이길수나 있겠어?,1,3,1.0
티비에서 보는데 언젠가부터 목록에서 프로그램 선택하면 가장자리 사각하얀 프레임이 없어져서 어느게 선택되었는지 헷갈려서 좌우이동을 해야 티가나네요 왜이렇게 바뀐거죠,1,2,4.0
스트리밍시 화질 개똥 되는거 왜 개선 안함? 인터넷 속도 탓 하지 마세요 그럼 티빙이나 넷플도 같은 현상이 있어야 하는데 저건 아주 잘됨 웨이브만 그럼 켜놓고 있으면 등장인물들 얼굴이 다 뭉게져서 짜증남 그리고 모바일로 볼때 락 걸었다가 풀면 드래그 먹통 됨 일시적 오류인가 했는데 계속 그러네 다른 스트리밍 사이트 좀 보고 배우세요 푹때부터 써왔는데 점점 더 구려지니 빡침 네이버로 갈아탈까보다 ㅡㅡ,1,1,3.0
태블릿 레노버 p11로 시청하려면 영상 끊김이 너무 심하네요 이 기기로 넷플릭스 웨이브 같은것들은 끊임없이 잘 재생 되는데 쿠팡플레이만 영상이 엄청 끊겨서 재생이 되네요 이 기기가 1080 화질 재생하는데는 문제없을만한 사양일텐데 아쉽네요,1,1,5.0
티빙 프리미엄 구독자인데 최근 폰으로만 보다가 오늘 티비로 미러링해서 보려고하니 갑자기 연결이 되질 않네요 휴대폰 티빙앱 업뎃하래서 했고 혹시나 lg씽큐앱 os까지 항상 최신업뎃 상태입니다.(tv는 해외직구한 초대형 lg티비 이용중) 전에 직구티비나 크롬캐스트 기기에,1,1,4.0
